577 Frog Porridge & Live Seafood,470 Geylang Road,
99 Nonya Kueh,55 Serangoon North Avenue 4 #01-20,
A-Lan Mixed Veg Rice,88 Bedok North Street 1 #01-125,
Aamirs Market,11 East Coast Road #01-18,
Ajumma's,"2 Handy Road The Cathay, #B1-23",
Amazing Sesame Pte Ltd,87 Marine Parade Central #01-503B,
Apples & Oranges,"1 Fusionopolis Place Fusionopolis One, #01-27",
Arkadas Cafe,"1 Fusionopolis View Sandcrawler, #01-02",
Artease,3 Philip Street,
At The Myo,4 Everton Park #01-42,
Bar 9,75A Kampung Bahru Road,
Bistro Gardenasia,240 Neo Tiew Crescent,
Bombay Dining,89 Pasir Panjang Road,
Bonheur Patisserie,"252 North Bridge Road Raffles City, #B1-72",
Boon Tong Kee,"2 Tampines Central 5 Century Square, #B1-18",Boon Tong Kee @ Century Square
Boon Tong Kee,18 Cheong Chin Nam Road,Boon Tong Kee @ Bukit Timah
Boon Tong Kee,233 Ang Mo Kio Ave 3 #01-1194,Boon Tong Kee @ Ang Mo Kio
Boon Tong Kee,199 East Coast Road,Boon Tong Kee @ East Coast
Boon Tong Kee,425 River Valley Road,Boon Tong Kee @ River Valley
Boon Tong Kee,34 Whampoa West #01-93,Boon Tong Kee @ Whampoa West
Boon Tong Kee,"399, 401 & 403 Balestier Road",Boon Tong Kee @ Balestier
Boozetribution Asia Pte Ltd,50 Tiong Bahru Road #01-03,
Bread Createur,"182 Jalan Jurong Kechil The Hillford, #01-51",
BreadTalk,83 Punggol Central #B1-15,BreadTalk Waterway Point
BreadTalk,3 Gateway Drive #02-03,BreadTalk Westgate
BreadTalk,11 Tanjong Katong Road #01-42,BreadTalk OneKM
BreadTalk,1 Sengkang Square #B1-29,BreadTalk Compass One
BreadTalk,200 Victoria Street #B1-23,BreadTalk Bugis Junction
BreadTalk,53 Ang Mo Kio Ave 3 #01-01,BreadTalk AMK Hub
BreadTalk,1 Kim Seng Promenade #01-52,BreadTalk Great World City
BreadTalk,"1 Raffles Link, Citylink Mall #B1-42",BreadTalk City Link
BreadTalk,1 Woodlands Square #01-34,BreadTalk Causeway Point
BreadTalk,"30, Sembawang Drive #01-02",BreadTalk Sun Plaza
BreadTalk,Gateway Drive #02-03,BreadTalk Westgate
BreadTalk,"33, Sengkang West Avenue #01-07",BreadTalk Seletar Mall
BreadTalk,3 Simei Street 6 #01-01,BreadTalk East Point
BreadTalk,60 Paya Lebar Road #01-89,BreadTalk Paya Lebar Square
BreadTalk,311 New Upper Changi Road #B2-25,BreadTalk Bedok Mall
BreadTalk,50 Jurong Gateway Road #01-15,BreadTalk JEM
BreadTalk,101 Thomson Road #01-75A,BreadTalk United Square
BreadTalk,20 Ah Hood Road #01-10,BreadTalk Zhongshan Park
BreadTalk,133 New Bridge Road #01-27,BreadTalk Chinatown Point
BreadTalk,1 Maritime Square #02-20,BreadTalk Singapore Cruise Centre
BreadTalk,30 Simei Street 3 #01-03,BreadTalk Simei
BreadTalk,1 Woodlands Road #01-27,BreadTalk Junction 10
BreadTalk,112 East Coast Road #01-03,BreadTalk 112 Katong
BreadTalk,5 Changi Business Park Central 1 #01-12,BreadTalk Changi City Point
BreadTalk,3155 Commonwealth Avenue West #01-01,BreadTalk Clementi Mall
BreadTalk,313 Orchard Road #B2-31,BreadTalk 313 Somerset B2
BreadTalk,8A Marina Boulevard #B2-18,BreadTalk Marina Bay Link Mall
BreadTalk,23 Serangoon Central #B2-58,BreadTalk Serangoon NEX
BreadTalk,26 Sentosa Gateway #B1-203,BreadTalk Resort World Sentosa
BreadTalk,1 Harbourfront Walk #B2-34,BreadTalk Vivo City
BreadTalk,1 Bukit Batok Central Link #01-34,BreadTalk West Mall
BreadTalk,4 Tampines Central 5 #B1-K7,BreadTalk Tampines Mall
BreadTalk,530 Lorong 6 Toa Payoh #01-04,BreadTalk Toa Payoh
BreadTalk,252 North Bridge Road #B1-44A,BreadTalk Raffles City
BreadTalk,68 Orchard Road #01-23,BreadTalk Plaza Singapura
BreadTalk,80 Marine Parade Road #B1-47,BreadTalk Parkway Parade
BreadTalk,290 Orchard Road #B1-11,BreadTalk Paragon
BreadTalk,238 Thomson Road #01-26,BreadTalk Novena Square
BreadTalk,930 Yishun Ave 2 #01-03,BreadTalk North Point
BreadTalk,63 Jurong West Central 3 #B1-72,BreadTalk Jurong Point
BreadTalk,9 Bishan Place #01-35,BreadTalk Junction 8
BreadTalk,1 Maritime Square #01-67,BreadTalk Harbourfront Centre
BreadTalk,180 Kitchener Road #01-41,BreadTalk City Square
BreadTalk,1 Raffles Link #B1-42,BreadTalk CityLink
BreadTalk,30 Tai Seng Street 01-04,Breadtalk iHQ
British Indian Curry Hut,30 Lorong Mambong,
Cafe O,118 Holland Avenue 01-01 ,Raffles Medical Holland Village
Cafe O,2 Jurong East Street 21 01-101,IMM
Careshop De Cafe,33 Hamilton Road #01-01,
Chiang Khong Thai Food,155a Tyrwhitt Road,
Chillas,1 Fusionopolis Place #02-03,
Chomp,20 Cecil Street #01-06,
Chuan Ji Bakery,401 Macpherson Road #01-17,
City Hot Pot,1 Raffles Place #04-28,
Coffeehock,8 Senoko South Road #01-02,
Crown Coffee,1 Greenwich Drive,Crown Coffee @ Greenwich Drive
Crown Coffee,420 North Bridge Road #06-05,Crown Coffee @ North Bridge Road
Crusty's,8A Admiralty Street #07-16,
Cupplets,535 Clementi Road,
Curry Gardenn,200 Turf Club Road #01-06,
CutFruitsToYourDoorStep,182 Jalan Jurong Kechil #01-69,
D Happy Factory,76 Boat Quay,
Don & Tori,74 Tras Street,
Ducatus Cafe Singapore,138 Robinson Road #01-01,
Duke Shanghai,85 Kampong Bahru Road,
Dunkin Donuts,"83 Punggol Central Waterway Point, #B1-K3",Dunkin Donuts @ Waterway Point
Dunkin Donuts,"930 Yishun Avenue 2 Northpoint City, #B1-17",Dunkin Donuts @ Northpoint City
Dunkin Donuts,"30 Sembawang Drive Sun Plaza, #01-27",Dunkin Donuts @ Sun Plaza
Dunkin Donuts,"1 Woodlands Square Causeway Point, #B1-K16",Dunkin Donuts @ Causeway Point
Dunkin Donuts,17 Petir Road #B2-31,Dunkin Donuts @ Petir Road
Dunkin Donuts,"2 Jurong East Central 1 JCube, #B1-K06A",Dunkin Donuts @ JCube
Dunkin Donuts,"2 Jurong East Street 21 IMM, #01-42",Dunkin Donuts @ IMM
Dunkin Donuts,"53 Ang Mo Kio Avenue 3 AMK Hub, #01-14",Dunkin Donuts @ AMK Hub
Dunkin Donuts,20 Tampines Central 1 #01-20,Dunkin Donuts @ Tampines Central
Dunkin Donuts,311 New Upper Changi Road #B2-K7,Dunkin Donuts @ Bedok Mall
Dunkin Donuts,2 Orchard Turn #B4-60,Dunkin Donuts @ ION Orchard
Dunkin Donuts,"14 Scotts Road Far East Plaza, #01-03",Dunkin Donuts @ Far East Plaza
Dunkin Donuts,180 Kitchener Road #B1-K12,Dunkin Donuts @ City Square Mall
Dunkin Donuts,1 Maritime Square #01-102,Dunkin Donuts @ Maritime Square
Eighteen Bali,53 South Bridge Road #02-01,
Eighty 2wo Bar,82 Serangoon Garden Way,
Fat Papas,83 Punggol Central #01-31,
Fatboy's,187 Upper Thomson Road,Fatboy’s @ Upper Thomson
Fatboy's,11 Kensington Park Road,Fatboy’s @ Kensington Park
Fatboy's,29 Lorong Mambong,Fatboy’s @ Lorong Mambong
Fatboy's,38 Orchard Road,Fatboy’s @ 38 Orchard Road
Foo Of Taste,10 Anson Road #01-06,
Food Fortune Vegetarian Restaurant,352 Jurong East Streeet 31,
Food Haven,500 Dover Road Singapore Polytechnic Staff Centre (Gate 3),
Food Republic,"Orchard Turn #B4-03/04, 2 ION Orchard",Food Opera @ ION Orchard
Food Republic,313 Orchard Road #05-01,313 Somerset
Food Republic,435 Orchard Road Level 4,Wisma Atria
Food Republic,3 Temasek Boulevard #B1-126,Suntec City
